Codi del centre;Nom del centre;Adreça del centre;Codi municipi del centre;Municipi del centre;Districte municipal del centre;Codi postal del centre;Telèfon del centre;Telèfon 2 del centre;Codi naturalesa;Nom naturalesa;Codi titularitat;Nom titularitat;Servei d'educació de Catalunya;Codi comarca del centre;Comarca del centre;Codi localitat del centre;Codi àrea territorial del centre;Àrea territorial del centre
17004499;Institut Narcís Xifra i Masmitjà;pg. Sant Joan Bosco, 1;17079;Girona;;17007;972212612;972200831;1;Públic;01;Departament d'Ensenyament;S;20;Gironès;1707905;0117;Girona
17005352;Institut de Palamós;c. Nàpols, 22;17118;Palamós;;17230;972602344;972602085;1;Públic;01;Departament d'Ensenyament;S;10;Baix Empordà;1711804;0117;Girona
17005662;Institut Serrallarga;c. Joan Benejam, 1;17023;Blanes;;17300;972331005;972337002;1;Públic;01;Departament d'Ensenyament;S;34;Selva;1702301;0117;Girona
17005731;Institut S'Agulla;ctra. de Malgrat, 13;17023;Blanes;;17300;972331460;972354380;1;Públic;01;Departament d'Ensenyament;S;34;Selva;1702301;0117;Girona
17005741;Institut Pere Borrell;c. Escoles Pies, 46;17141;Puigcerdà;;17520;972884642;972141049;1;Públic;01;Departament d'Ensenyament;S;15;Cerdanya;1714102;0117;Girona
25002775;Ilerna;c. La Palma, 29-33;25120;Lleida;;25002;973235986;973727629;3;Concertat;26;Societats Mercantils;S;33;Segrià;2512006;0125;Lleida
25004188;Institut Joan Brudieu;c. Dr. Iglesias Navarri, 27;25203;La Seu d'Urgell;;25700;973350403;973355650;1;Públic;01;Departament d'Ensenyament;S;04;Alt Urgell;2520308;0125;Lleida
25005442;Institut Escola del Treball;c. Pi i Margall, 49;25120;Lleida;;25004;973231549;973220819;1;Públic;01;Departament d'Ensenyament;S;33;Segrià;2512006;0125;Lleida
25005454;Institut Francesc Ribalta;c. Francesc  Ribalta, s/n;25207;Solsona;;25280;973481079;973481079;1;Públic;01;Departament d'Ensenyament;S;35;Solsonès;2520701;1060;Catalunya Central
25005685;Institut La Segarra;c. President Macià, s/n;25072;Cervera;;25200;973530554;973532608;1;Públic;01;Departament d'Ensenyament;S;32;Segarra;2507203;0125;Lleida
25006288;Institut de Tremp;c. Bisbe Iglesias, 5;25234;Tremp;;25620;973650836;973652523;1;Públic;01;Departament d'Ensenyament;S;25;Pallars Jussà;2523426;0125;Lleida
25006732;Institut Torrevicens;av. Torre Vicens, 3;25120;Lleida;;25005;973220033;973220044;1;Públic;01;Departament d'Ensenyament;S;33;Segrià;2512006;0125;Lleida
43000329;Institut Ramon Berenguer IV;av. Mestre J. Sunyer, 1-37;43014;Amposta;;43870;977701556;977703258;1;Públic;01;Departament d'Ensenyament;S;22;Montsià;4301401;0243;Terres de l'Ebre
43002594;Institut Baix Camp;c. Jacint Barrau, 1;43123;Reus;;43201;977310953;977314721;1;Públic;01;Departament d'Ensenyament;S;08;Baix Camp;4312306;0143;Tarragona
43003653;Institut Comte de Rius;ctra. de Valls, s/n (Zona Educacional);43148;Tarragona;;43007;977241384;977242256;1;Públic;01;Departament d'Ensenyament;S;36;Tarragonès;4314813;0143;Tarragona
43004311;Nuestra Señora de la Consolación;c. Argentina, 32-34;43155;Tortosa;;43500;977440326;977443002;3;Concertat;24;Ordes i Congregacions Catòlics;S;09;Baix Ebre;4315516;0243;Terres de l'Ebre
43004441;Institut de l'Ebre;av. Colom, 34-42;43155;Tortosa;;43500;977500949;977503064;1;Públic;01;Departament d'Ensenyament;S;09;Baix Ebre;4315516;0243;Terres de l'Ebre
43004611;Institut Jaume Huguet;c. Creu de Cames, s/n;43161;Valls;;43800;977600938;977612565;1;Públic;01;Departament d'Ensenyament;S;01;Alt Camp;4316104;0143;Tarragona
43004803;Institut Andreu Nin;av. Salvador Palau Rabassó, 18;43163;El Vendrell;;43700;877056921;977893134;1;Públic;01;Departament d'Ensenyament;S;12;Baix Penedès;4316306;0143;Tarragona
43006691;Institut Priorat;ctra. de Porrera, s/n;43055;Falset;;43730;977830338;977830493;1;Públic;01;Departament d'Ensenyament;S;29;Priorat;4305501;0143;Tarragona
43008501;Institut Pont del Diable;av. de Sant Salvador, 17-A;43148;Tarragona;;43130;977523011;977520218;1;Públic;01;Departament d'Ensenyament;S;36;Tarragonès;4314811;0143;Tarragona
43009722;Institut Cal·lípolis;Autovia de Salou, s/n;43148;Tarragona;;43006;977544202;977550482;1;Públic;01;Departament d'Ensenyament;S;36;Tarragonès;4314813;0143;Tarragona
